accession,sample_name,longitude_deg,latitude_deg,country,studies,env_biome,env_feature,env_material,experiment_type,collection_date
DRS000196,DRS000196,,,,MGYS00000653,,,,metatranscriptomic,
DRS001056,soil microbe DNA,,,,MGYS00000624,,,,amplicon,
DRS012638,Active ammonia oxidizers in an acid soil are phylogenetically closely related to neutrophilic Nitrososphaera viennensis,,,,MGYS00000649,,,,amplicon,
DRS014214,Reactor A,,,,MGYS00004316,,,,amplicon,
DRS014215,Reactor B,,,,MGYS00004316,,,,amplicon,
DRS014216,Reactor C,,,,MGYS00004316,,,,amplicon,
DRS014217,Reactor D,,,,MGYS00004316,,,,amplicon,
DRS014218,Blank,,,,MGYS00004316,,,,amplicon,
DRS019399,DRS019399,,,,MGYS00000650,,,,amplicon,
DRS019400,DRS019400,,,,MGYS00000650,,,,amplicon,
DRS019401,DRS019401,,,,MGYS00000650,,,,amplicon,
DRS019402,DRS019402,,,,MGYS00000650,,,,amplicon,
DRS019403,DRS019403,,,,MGYS00000650,,,,amplicon,
DRS019404,DRS019404,,,,MGYS00000650,,,,amplicon,
DRS019405,DRS019405,,,,MGYS00000650,,,,amplicon,
DRS019406,DRS019406,,,,MGYS00000650,,,,amplicon,
DRS019407,DRS019407,,,,MGYS00000650,,,,amplicon,
DRS019408,DRS019408,,,,MGYS00000650,,,,amplicon,
DRS019409,DRS019409,,,,MGYS00000650,,,,amplicon,
DRS019410,DRS019410,,,,MGYS00000650,,,,amplicon,
DRS019418,DRS019418,,,,MGYS00000651,,,,amplicon,
DRS019419,DRS019419,,,,MGYS00000651,,,,amplicon,
DRS019420,DRS019420,,,,MGYS00000651,,,,amplicon,
DRS019421,DRS019421,,,,MGYS00000651,,,,amplicon,
DRS019422,DRS019422,,,,MGYS00000651,,,,amplicon,
DRS019423,DRS019423,,,,MGYS00000651,,,,amplicon,
DRS019424,DRS019424,,,,MGYS00000651,,,,amplicon,
DRS019425,DRS019425,,,,MGYS00000651,,,,amplicon,
DRS019426,DRS019426,,,,MGYS00000651,,,,amplicon,
DRS019827,DRS019827,,,,MGYS00000716,,,,amplicon,
DRS019828,DRS019828,,,,MGYS00000716,,,,amplicon,
DRS019829,DRS019829,,,,MGYS00000716,,,,amplicon,
DRS019830,DRS019830,,,,MGYS00000716,,,,amplicon,
DRS019831,DRS019831,,,,MGYS00000716,,,,amplicon,
DRS019832,DRS019832,,,,MGYS00000716,,,,amplicon,
DRS019833,DRS019833,,,,MGYS00000716,,,,amplicon,
DRS019834,DRS019834,,,,MGYS00000716,,,,amplicon,
