accession,sample_name,longitude_deg,latitude_deg,country,studies,env_biome,env_feature,env_material,experiment_type,collection_date,env_package_type
mgm4441091.3,Waseca Farm Soil,93.6623,43.9614,United States of America,Waseca County Farm Soil Metagenome,soil,soil,soil,WGS,2001-09-05 12:00:00 UTC,soil
mgm4443231.3,A,-85.83945,80.00048,Canada,Meta data,soil,soil,soil,WGS,2003-05-00 00:00:00 UTC,soil
mgm4443232.3,2M,-85.83945,80.00048,Canada,Meta data,soil,soil,soil,WGS,2003-05-00 00:00:00 UTC,soil
mgm4445990.3,NTS_creosote.ele.1,-115.55,36.49,United States of America,hot_springs-microbial_mat.WGS,soil,soil,soil,WGS,2007-06-19 08:00:00 UTC-8,soil
mgm4445993.3,NTS_crust.amb.1,115.55,36.49,United States of America,hot_springs-microbial_mat.WGS,soil,soil,soil,WGS,2007-06-19 08:00:00 UTC-8,soil
mgm4445994.3,NTS_crust.ele.2,-115.55,36.49,United States of America,hot_springs-microbial_mat.WGS,soil,soil,soil,WGS,2007-06-19 08:00:00 UTC-8,soil
mgm4445996.3,NTS_creosote.amb.1,-115.55,36.49,United States of America,hot_springs-microbial_mat.WGS,soil,soil,soil,WGS,2007-06-19 08:00:00 UTC-8,soil
mgm4446153.3,"Luquillo Experimental Forest Soil, Puerto Rico",-65.833,18.3,Puerto Rico,Rain Forest Soil Microbial Communities,soil,soil,soil,WGS,,soil
mgm4447277.3,High Andean Forest Soil,-72,4,Colombia,Meta data,soil,soil,soil,WGS,2008-05-16 10:30:00 UTC,
mgm4449125.3,Composite,-62.283,81.517,Canada,Meta data,soil,soil,soil,WGS,2005-08-00 00:00:00 UTC-5,soil
mgm4449126.3,Biopiles-2006,-62.283,81.517,Canada,Meta data,soil,soil,soil,WGS,2006-08-00 00:00:00 UTC-5,soil
mgm4449249.3,1_8_RL1,-93.26529,45.39926,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449252.3,1_17_RL2,-93.26529,45.39926,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449255.3,1_22_RL3,-93.26529,45.39926,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449256.3,1_23_RL4,-93.26529,45.39926,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449258.3,1_38_RL5,-93.26529,45.39926,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449284.3,1_52_RL8,-93.26529,45.39926,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449356.3,2_201_RL1,-85.37609,42.44158,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449357.3,1_45_RL7,-93.26529,45.39926,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449358.3,2_204_RL2,-85.37609,42.44158,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449359.3,2_209_RL3,-85.37609,42.44158,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449360.3,2_301_RL4,-85.37609,42.44158,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449362.3,2_309_RL6,-85.37609,42.44158,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449363.3,2_401_RL7,-85.37609,42.44158,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449364.3,2_404_RL8,-85.37609,42.44158,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449365.3,2_409_RL9,-85.37609,42.44158,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4449877.3,1_54_RL9,-93.26529,45.39926,USA," Comparative metagenomic, phylogenetic, and physiological analyses of soil microbial communities across nitrogen gradients",grassland biome,meadow soil,bulk soil,WGS,2008-07-15 12:00:00 UTC-7,soil
mgm4450123.3,S2b_metagenome,13.610184,80.5925,Norway,Organic carbon transformations in high-Arctic peat soils: key functions and microorganisms,Tundra biome,peat soil,peat soil,WGS,2009-08-01 12:00:00 UTC+2,soil
mgm4450124.3,S2a_metagenome,13.610184,80.5925,Norway,Organic carbon transformations in high-Arctic peat soils: key functions and microorganisms,Tundra biome,peat soil,peat soil,WGS,2009-08-01 12:00:00 UTC+2,soil
mgm4450125.3,K1a_metagenome,13.48425,80.60907,Norway,Organic carbon transformations in high-Arctic peat soils: key functions and microorganisms,Tundra biome,peat soil,peat soil,WGS,2009-08-01 12:00:00 UTC+2,soil
mgm4450126.3,K1b_metagenome,13.48425,80.60907,Norway,Organic carbon transformations in high-Arctic peat soils: key functions and microorganisms,Tundra biome,peat soil,peat soil,WGS,2009-08-01 12:00:00 UTC+2,soil
mgm4450127.3,K1c_metagenome,13.48425,80.60907,Norway,Organic carbon transformations in high-Arctic peat soils: key functions and microorganisms,Tundra biome,peat soil,peat soil,WGS,2009-08-01 12:00:00 UTC+2,soil
mgm4450243.3,Cubatao_S1,-46.42975,-23.903944,Brazil,Cubatao_metagenomic,terrestrial biome,coastal plain,leafy wood soil,WGS,2011-01-20 10:30:00 UTC-3,soil
mgm4450249.3,Solvatnet_metatranscriptome,13.610184,80.5925,Norway,Organic carbon transformations in high-Arctic peat soils: key functions and microorganisms,Tundra biome,peat soil,peat soil,WGS,2009-08-01 12:00:00 UTC+2,soil
mgm4450250.3,Knudsenheia_metatranscriptome,13.48425,80.60907,Norway,Organic carbon transformations in high-Arctic peat soils: key functions and microorganisms,Tundra biome,peat soil,peat soil,WGS,2009-08-01 12:00:00 UTC+2,soil
mgm4450729.3,Biopile 2005,-62.283,81.517,Canada,Meta data,soil,soil,soil,WGS,2005-09-00 00:00:00 UTC-5,soil
mgm4450731.3,Control biopile,-62.283,81.517,Canada,Meta data,soil,soil,soil,WGS,2005-08-00 00:00:00 UTC-5,soil
mgm4450750.3,NTS004-ele-crust,-115.55,36.49,United States of America,Project for: NTS004-ele-crust,soil,soil,soil,WGS,2007-07-06 08:00:00 UTC-8,
mgm4450752.3,NTS064-amb-crust,-115.55,36.49,United States of America,Project for: NTS064-amb-crust,soil,soil,soil,WGS,2007-07-06 08:00:00 UTC-8,
mgm4451103.3,NTS_007_lucy_ELEV,-115.55,36.49,United States of America,Project for: NTS_007_lucy_ELEV,soil,soil,soil,WGS,2007-07-06 08:00:00 UTC-8,
mgm4451104.3,NTS_010_ELEV,-115.55,36.49,United States of America,Project for: NTS_010_ELEV,soil,soil,soil,WGS,2007-07-06 08:00:00 UTC-8,
mgm4451105.3,NTS_067_AMBIENT,-115.55,36.49,United States of America,Project for: NTS_067_AMBIENT,soil,soil,soil,WGS,2007-07-06 08:00:00 UTC-8,
mgm4451106.3,NTS_071_AMBIENT,-115.55,36.49,United States of America,Project for: NTS_071_AMBIENT,soil,soil,soil,WGS,2007-07-06 08:00:00 UTC-8,
mgm4453147.3,Pooled_ambient_Creosote_pyrotag,115.55,36.49,United States of America,hot_springs-microbial_mat.WGS,soil,soil,soil,Unknown,2007-06-19 08:00:00 UTC-8,soil
mgm4453148.3,Pooled_ambient_crust,115.55,36.49,United States of America,hot_springs-microbial_mat.WGS,soil,soil,soil,Unknown,2007-06-19 08:00:00 UTC-8,soil
mgm4453149.3,Pooled_elevated_creosote_pyrotags,-115.55,36.49,United States of America,hot_springs-microbial_mat.WGS,soil,soil,soil,Unknown,2007-06-19 08:00:00 UTC-8,soil
mgm4453150.3,Pooled_elevated_crust_pyrotags,-115.55,36.49,United States of America,hot_springs-microbial_mat.WGS,soil,soil,soil,Unknown,2007-06-19 08:00:00 UTC-8,soil
mgm4453246.3,METASOIL F1 Rothamsted 2009 February 0-21cm Direct MPBIO1O1,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-02-01 12:00:00 UTC-0,soil
mgm4453247.3,METASOIL F2a Rothamsted 2009 February 0-21cm Indirect MPBIO1O1,0.222231,51.48148,England,"Soil microbial community from Rothamsted, Park Grass (METASOIL project)",Temperate grasslands,prairie,soil,WGS,2009-02-01 12:00:00 UTC-0,soil
